$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,25,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,25,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,26,23,32,317,42,24,70,161,48,29,09,215,22*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,26,23,32,317,42,24,70,161,48,29,09,215,22*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,26,23,32,317,42,24,70,161,48,29,09,215,21*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,26,23,32,317,42,24,70,161,48,29,09,215,21*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,26,23,32,317,42,24,70,161,48,29,09,215,21*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,26,23,32,317,42,24,70,161,48,29,09,215,21*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,24,15,59,014,23,18,64,276,46*7A
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,32,23,32,317,42,24,70,161,48,29,09,215,21*76
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,21*77
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,21*77
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,26,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,22*74
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,26,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,22*74
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,26,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,22*74
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,26,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,22*74
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,26,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,22*74
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,26,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,22*74
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,21*77
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,21*77
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,48,29,09,215,21*77
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,20*71
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,20*71
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,20*71
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,05,304,25,15,59,014,23,18,64,276,46*7B
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,25,15,59,014,23,18,64,276,46*78
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,22*73
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,48,29,09,215,21*70
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,21*7F
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,34,23,32,317,42,24,70,161,47,29,09,215,22*7C
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,42,24,70,161,47,29,09,215,22*7B
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,43,24,70,161,47,29,09,215,22*7A
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,43,24,70,161,47,29,09,215,22*7A
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,43,24,70,161,47,29,09,215,22*7A
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,42*45
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
$GPGSV,3,2,11,20,33,046,33,23,32,317,43,24,70,161,47,29,09,215,22*7A
$GPGSV,3,3,11,43,49,147,46,56,55,202,46,57,34,242,43*44
$GPGSV,3,1,11,05,35,098,44,10,06,304,24,15,59,014,23,18,64,276,46*79
